era,period,common_name,Genus,Link,pic_url,bonus_material
Cenozoic,Paleogene,proto-primate,Purgatorius,https://news.nationalgeographic.com/news/2012/10/121024-purgatorius-earliest-primate-evolution-science-squirrel/,https://upload.wikimedia.org/wikipedia/commons/8/82/Purgatorius_BW.jpg,
Cenozoic,Paleogene,flightless water bird,Waimanu,https://www.otago.ac.nz/geology/research/paleontology/waimanu.html,https://upload.wikimedia.org/wikipedia/commons/c/c7/Waimanu_BW.jpg,
Cenozoic,Paleogene,monster snake,Titanoboa,https://www.smithsonianmag.com/science-nature/how-titanoboa-the-40-foot-long-snake-was-found-115791429/,https://upload.wikimedia.org/wikipedia/commons/5/5a/Titanoboa_1_%287684792594%29.jpg,
Cenozoic,Neogene,Extinct Rhino,Teleoceras,https://v637g.app.goo.gl/zPQhd1rAiRfeoBkm7,https://upload.wikimedia.org/wikipedia/commons/a/a1/Natural_History_Museum_of_LA_Teleoceras.jpg,
Cenozoic,Neogene,Primate,Sahelanthropus,http://humanorigins.si.edu/evidence/human-fossils/species/sahelanthropus-tchadensis,https://upload.wikimedia.org/wikipedia/commons/f/fc/Sahelanthropus_tchadensis_-_TM_266-01-060-1.jpg,
Cenozoic,Neogene,Sea turtle,Caretta,https://youtu.be/rWyDvPZyfYo,https://upload.wikimedia.org/wikipedia/commons/8/8e/Loggerhead_sea_turtle.jpg,
Cenozoic,Neogene,Crocodile,Crocodylus,https://www.inaturalist.org/taxa/26042-Crocodylus,https://upload.wikimedia.org/wikipedia/commons/a/a3/Persiancrocodile.jpg,
Cenozoic,Neogene,Bear dog,Amphicyon,https://www.newdinosaurs.com/amphicyon/,https://upload.wikimedia.org/wikipedia/commons/b/b1/Amphicyon_ingens_White_Background.jpg,
Cenozoic,Neogene,Giant caiman,Purussaurus,https://www.newdinosaurs.com/purussaurus/,https://upload.wikimedia.org/wikipedia/commons/c/c2/Large_crocodyliformes.svg,
Cenozoic,Neogene,Jumping spider,Phidippus,https://youtu.be/hoBm_Hgjc6Y,https://upload.wikimedia.org/wikipedia/commons/c/c2/Phidippus_wikipedia.jpg,
Cenozoic,Neogene,Carpenter ant,Camponotus,http://bugoftheweek.com/blog/2016/1/13/carpenter-ants-here-and-there-icamponotusi-spp,https://upload.wikimedia.org/wikipedia/commons/f/fb/Carpenter_ant_Tanzania_crop.jpg,
Cenozoic,Neogene,Saber toothed cat,Smilodon,https://youtu.be/hbjIhPHRZgc,https://upload.wikimedia.org/wikipedia/commons/7/78/Smilodon_californicus_mount.jpg,
Cenozoic,Quaternary,Gorilla,Gorilla,https://youtu.be/yb796sRnkm0,https://upload.wikimedia.org/wikipedia/commons/5/50/Male_gorilla_in_SF_zoo.jpg,
Cenozoic,Quaternary,Mammoth,Mammuthus,https://youtu.be/n4SPTKkb5Yc,https://upload.wikimedia.org/wikipedia/commons/6/62/Columbian_mammoth.JPG,
Cenozoic,Quaternary,Ground Sloth,Megalonyx,https://statesymbolsusa.org/symbol/west-virginia/state-dinosaur-or-fossil/megalonyx-jeffersonii,https://upload.wikimedia.org/wikipedia/commons/e/ef/Megalonyx_wheatleyi_-_AMNH_-_DSC06327.JPG,
Cenozoic,Quaternary,Human,Homo,http://humanorigins.si.edu/evidence/human-family-tree,https://upload.wikimedia.org/wikipedia/commons/e/ed/Homo_erectus_adult_female_-_head_model_-_Smithsonian_Museum_of_Natural_History_-_2012-05-17.jpg,
Cenozoic,Quaternary,Barn Owl,Tyto,https://youtu.be/ohqEquNnzfU,https://upload.wikimedia.org/wikipedia/commons/6/66/Grass_Owl_adult.jpg,
